Source,Target,Type,Weight
"Al-Ghamdi, Aisha A","Madani, Tariq A",Undirected,1
"Cross, Carroll E","Eiserich, Jason P",Undirected,1
"Cross, Carroll E","Vliet, Albert van der",Undirected,1
"Eiserich, Jason P","Vliet, Albert van der",Undirected,1
"Fagan, Karen A","McMurtry, Ivan F",Undirected,1
"Fagan, Karen A","Rodman, David M",Undirected,1
"McMurtry, Ivan F","Rodman, David M",Undirected,1
"Bonville, Cynthia A","Domachowske, Joseph B",Undirected,2
"Bonville, Cynthia A","Rosenberg, Helene F",Undirected,2
"Domachowske, Joseph B","Rosenberg, Helene F",Undirected,2
"Pasternak, Alexander O.","Snijder, Eric J.",Undirected,1
"Pasternak, Alexander O.","Spaan, Willy J.M.",Undirected,1
"Pasternak, Alexander O.","van den Born, Erwin",Undirected,1
"Snijder, Eric J.","Spaan, Willy J.M.",Undirected,1
"Snijder, Eric J.","van den Born, Erwin",Undirected,1
"Spaan, Willy J.M.","van den Born, Erwin",Undirected,1
"Alvarez, Gonzalo","Hébert, Paul C",Undirected,1
"Alvarez, Gonzalo","Szick, Sharyn",Undirected,1
"Hébert, Paul C","Szick, Sharyn",Undirected,1
"Ball, Jonathan","Venn, Richard",Undirected,1
"Choi, Augustine MK","Ryter, Stefan W",Undirected,1
"Choi, Augustine MK","Slebos, Dirk-Jan",Undirected,1
"Ryter, Stefan W","Slebos, Dirk-Jan",Undirected,1
"Dato, Virginia M.","Espino, Jeremy U.",Undirected,1
"Dato, Virginia M.","Gesteland, Per H.",Undirected,1
"Dato, Virginia M.","Hutman, Judith",Undirected,1
"Dato, Virginia M.","Tsui, Fu-Chiang",Undirected,1
"Dato, Virginia M.","Wagner, Michael M.",Undirected,1
"Espino, Jeremy U.","Gesteland, Per H.",Undirected,1
"Espino, Jeremy U.","Hutman, Judith",Undirected,1
"Espino, Jeremy U.","Tsui, Fu-Chiang",Undirected,1
"Espino, Jeremy U.","Wagner, Michael M.",Undirected,1
"Gesteland, Per H.","Hutman, Judith",Undirected,1
"Gesteland, Per H.","Tsui, Fu-Chiang",Undirected,1
"Gesteland, Per H.","Wagner, Michael M.",Undirected,1
"Hutman, Judith","Tsui, Fu-Chiang",Undirected,1
"Hutman, Judith","Wagner, Michael M.",Undirected,1
"Tsui, Fu-Chiang","Wagner, Michael M.",Undirected,1
"Atkins, John F.","Gesteland, Raymond F.",Undirected,2
"Atkins, John F.","Ivanov, Ivaylo P.",Undirected,1
"Atkins, John F.","Matsufuji, Senya",Undirected,1
"Atkins, John F.","Murakami, Yasuko",Undirected,1
"Gesteland, Raymond F.","Ivanov, Ivaylo P.",Undirected,1
