Id,Label
"Binkowski, Brock F.","Binkowski, Brock F."
"Matthews, David A.","Matthews, David A."
"Richardson, Ward M","Richardson, Ward M"
"Chen, Calvin Yu-Chian","Chen, Calvin Yu-Chian"
"Sytwu, Huey-Kang","Sytwu, Huey-Kang"
"Song, Jingdong","Song, Jingdong"
"Pham, Yen Ngoc","Pham, Yen Ngoc"
"Won, Sungyong","Won, Sungyong"
"Kong, Xiangyin","Kong, Xiangyin"
"Felgner, Philip","Felgner, Philip"
"Gaeta, Laura","Gaeta, Laura"
"Fuste, Berta","Fuste, Berta"
"Zheng, Aihua","Zheng, Aihua"
"Pak, Youngmi Kim","Pak, Youngmi Kim"
"Bloom, Marshall E.","Bloom, Marshall E."
"Mascola, John","Mascola, John"
"Tang, De-Shen","Tang, De-Shen"
"Ellis, Andrea","Ellis, Andrea"
"Savachkin, Alex","Savachkin, Alex"
"Chachu, Karen A.","Chachu, Karen A."
"Miller, Virginia M.","Miller, Virginia M."
"Schloegel, Lisa M.","Schloegel, Lisa M."
"Bisaillon, Martin","Bisaillon, Martin"
"Evans, D. J.","Evans, D. J."
"Catic, André","Catic, André"
"Hurst, Jane L.","Hurst, Jane L."
"Dowell, Lori M.","Dowell, Lori M."
"Zecchini, T.A.","Zecchini, T.A."
"Koh, Geoffrey","Koh, Geoffrey"
"Aras, Omer","Aras, Omer"
"Manali, Effrosyni D","Manali, Effrosyni D"
"Dalod, Marc","Dalod, Marc"
"Niebuhr, David W.","Niebuhr, David W."
"Shin, So Young","Shin, So Young"
"Decker, Thomas","Decker, Thomas"
"Weinhausen, Britta","Weinhausen, Britta"
"Teoh, Pak-Guan","Teoh, Pak-Guan"
"Belser, Jessica A.","Belser, Jessica A."
"Leggat, Peter A.","Leggat, Peter A."
"Zhou, Hang","Zhou, Hang"
"LIU, Xin-sheng","LIU, Xin-sheng"
"Benser, Jasmin","Benser, Jasmin"
"Viscusi, Dennis J.","Viscusi, Dennis J."
"Simonsen, Lone","Simonsen, Lone"
"Nielsen, Morten","Nielsen, Morten"
"Chang, Hui-Wen","Chang, Hui-Wen"
"Domachowske, Joseph B","Domachowske, Joseph B"
"Planas, Josep V.","Planas, Josep V."
"Rajasekaram, Ganeswrie","Rajasekaram, Ganeswrie"
"Stehle, Thilo","Stehle, Thilo"
"Hong, Ze-Hui","Hong, Ze-Hui"
"Hong, Young Mi","Hong, Young Mi"
"Bétrémieux, Pierre","Bétrémieux, Pierre"
"Patel, Dhara A.","Patel, Dhara A."
"Lee, Vernon J","Lee, Vernon J"
